Pathogenic variants,Benign variants,PPV,PPV CI,Sensitivity,Sens CI,Specificity,P value,FPR
Total,22934,6123,NA,NA,NA,NA,NA,NA,NA
Sift,20574,2324,0.899,0.00391,0.897,0.00393,0.62,0,0.38
MCap,22278,4029,0.847,0.00435,0.971,0.00216,0.342,0,0.658
CADD,22348,3768,0.856,0.00426,0.974,0.00204,0.385,0,0.615
Revel,20342,999,0.953,0.00283,0.887,0.0041,0.837,0,0.163
Paralogue Annotation,3731,130,0.966,0.00569,0.164,0.00482,0.979,6.87e-250,0.0214
Paralogue Annotation (QC1),3303,55,0.984,0.00429,0.145,0.00458,0.991,1.8e-277,0.00907
Paralogue Annotation (QC2),1840,13,0.993,0.0038,0.0809,0.00355,0.998,1.85e-172,0.00214
Paralogue Annotation (QC3),648,2,0.997,0.00426,0.0285,0.00216,1,6.35e-64,0.00033
Paralogue Annotation (QC3, no QC2),1232,9,0.993,0.00472,0.0542,0.00294,0.999,6.55e-114,0.00148
Para z_score cutoff 0,2869,53,0.982,0.005,0.18,0.006,0.983,4.03e-168,0.017
Para z_score cutoff 1,2829,50,0.983,0.005,0.185,0.006,0.98,1.01e-139,0.02
Para z_score cutoff 2,2815,50,0.983,0.005,0.186,0.006,0.98,1.16e-135,0.02
Para z_score cutoff 3,2809,49,0.983,0.005,0.188,0.006,0.979,4.32e-129,0.021
Para z_score cutoff 4,2752,47,0.983,0.005,0.19,0.006,0.978,8.71e-117,0.022
Para z_score cutoff 5,2664,42,0.984,0.005,0.194,0.007,0.977,1.86e-104,0.023
Para z_score cutoff 6,2609,40,0.985,0.005,0.199,0.007,0.975,1.67e-91,0.025
Para z_score cutoff 7,2543,34,0.987,0.004,0.205,0.007,0.975,7.15e-81,0.025
Para z_score cutoff 8,2444,32,0.987,0.004,0.214,0.008,0.969,2.64e-62,0.031
Para z_score cutoff 9,2323,25,0.989,0.004,0.22,0.008,0.969,3.96e-51,0.031
Para z_score cutoff 10,2180,19,0.991,0.004,0.234,0.009,0.963,1e-34,0.037
Para z_score cutoff 11,2131,19,0.991,0.004,0.236,0.009,0.96,4.76e-31,0.04
